kcet,college
74.7597459,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati"
36.9060637,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
81.4752,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
17.8189929,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur"
43.8091,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
88.9917658,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
18.5026397,"Bharat College of Engineering, Kanhor, Badlapur(W)"
80.3491378,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
48.4773,"Suryodaya College of Engineering & Technology, Nagpur"
8.9659,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
6.821259,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
75.1642128,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
55.8044,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Engineering & Technology & Research, Savangi (Meghe)"
2.5379663,"Shree Tuljabhavani College of Engineering, Tuljapur"
16.5896598,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
9.7959198,"Bhagwant Institute of Technology, Barshi"
21.9407892,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
66.3481384,Rajendra Mane College of Engineering & Technology Ambav Deorukh
0.741,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
52.1099,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
68.8173055,"S.S.P.M.'s College of Engineering, Kankavli"
23.9953506,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
67.528,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
54.4556535,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
48.3748905,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
27.8372428,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
70.782428,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"
23.0194883,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
16.6468718,"Saraswati Education Society, Yadavrao Tasgaonkar College of Engineering and Management, Nasarapur, Chandai, Karjat"
67.0339578,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
11.5571,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati"
